MES;REALIZADAS;POSITIVAS;NEGATIVAS;ENSAYOS;NULAS
ENERO;1574;62;994;361;107
FEBRERO;1482;86;940;323;100
MARZO;1515;54;1068;301;91
ABRIL;1517;43;1046;269;159
MAYO;1941;76;1487;233;125
JUNIO;1807;52;1389;266;122
JULIO;1489;45;1115;272;49
AGOSTO;1865;52;1261;374;78
SEPTIEMBRE;0;0;0;0;0
OCTUBRE;0;0;0;0;0
NOVIEMBRE;0;0;0;0;0
DICIEMBRE;0;0;0;0;0
ENERO;1436;49;812;102;473
FEBRERO;1328;64;837;93;334
MARZO;1437;47;926;108;356
ABRIL;1512;61;869;121;461
MAYO;1298;67;820;78;333
JUNIO;1497;68;934;93;402
JULIO;1501;57;973;118;353
AGOSTO;1509;49;980;144;336
SEPTIEMBRE;2548;63;1131;203;1151
OCTUBRE;1687;76;923;129;559
NOVIEMBRE;1338;45;816;113;364
DICIEMBRE;1685;90;955;172;468
ENERO;48;836;114;385;1447
FEBRERO;43;872;87;310;1377
MARZO;48;1159;32;409;1744
ABRIL;32;1476;10;533;2132
MAYO;46;1618;3;416;2225
JUNIO;89;3235;7;422;3981
JULIO;79;3766;9;511;4541
AGOSTO;59;3439;12;518;4183
SEPTIEMBRE;53;3483;9;537;4236
OCTUBRE;62;4953;5;577;5733
NOVIEMBRE;39;4350;16;507;5023
DICIEMBRE;88;5533;140;605;6596
